第1条评论:   “满纸荒唐中窥见满脸沧桑 / 触到神经就要懂得鼓掌
第515条评论:   不怎么精致的猪猪女孩

第516条评论:   今天下午我买了点吃的回家，姥姥看见了，问我吃了没有，我以为她也要吃，我就说我吃了 结果她来了句 那就给你妹妹留着吧

第517条评论:   我妹是我表妹

第518条评论:   我中午就吃了一碗粉，到下午一点东西都没吃 我想当晚饭的 所以到现在我还在饿肚子 睡觉吧，睡了就不饿了

第519条评论:   巧克力的吻

第520条评论:   两百万了

第521条评论:   樱笙箫默

第522条评论:   白素贞受观音指点下凡寻找有缘人。白素贞：“菩萨，我要怎么才能找到他？”观音：“只需记住他忠厚善良、外表俊秀、其貌不凡、才气凌人、歌声动听，姓许即可。”数日，白素贞终于遇到一个善良的许姓公子，上前激动的问道：“公子是许仙么？”公子答：“姑娘，你认错人了，在下许嵩。”

第523条评论:   秀儿，是你吗

第524条评论:   网易云评论最多的歌

第525条评论:   第一次见

第526条评论:   多万的评论

第527条评论:   梅兰庭

第528条评论:   大概现在听嵩歌的人都上大学了吧

第529条评论:   不好意思，初一听许嵩，现在大学毕业四年

第530条评论:   月下许愿啊

第531条评论:   ，俩年没来听这是要飞

第532条评论:   可曾听闻龙卷风摧毁停车场

第533条评论:   为什么许嵩的这首歌能有

第534条评论:   个评论啊

第535条评论:   大佬能给解释一下嘛

第536条评论:   给许嵩的生日礼物

第537条评论:   好听诶

第538条评论:   韩好好

第539条评论:   嵩哥终于要出新歌了。。。

第540条评论:   于你多言

第541条评论:   我又看见了好多年前许嵩在企鹅乐霸榜的影子了

第542条评论:   梦醒花式抖腿

第543条评论:   这评论

第544条评论:   扛起基弹百米冲刺

第545条评论:   别拽哼

第546条评论:   喜欢许嵩十二年了

第547条评论:   十年许嵩，雅俗共赏

第548条评论:   路遇核桃的松鼠

第549条评论:   乐乐乐妮子

第550条评论:   所以许嵩现在多大呢。。

第551条评论:   岁的老男人

第552条评论:   乐乐乐妮子

第553条评论:   所以许嵩现在多大呢。。

第554条评论:   脑袋坏啦

第555条评论:   许嵩的新歌，天龙八部第三部曲，新单曲。

第556条评论:   嵩鼠听晴

第557条评论:   我嵩上热搜了

第558条评论:   路遇核桃的松鼠

第559条评论:   评论计数君

第560条评论:   突然上线

第561条评论:   介个碧殿下

第562条评论:   顶一个

第563条评论:   还是以前的味道，听许嵩的歌十几年了

第564条评论:   一起成长

第565条评论:   这是我来云村迄今为止碰见的第一个评论两百万的一首歌    扎带了

第566条评论:   一万年

第567条评论:   十年许嵩，雅俗共赏

第568条评论:   找姑娘找姑娘

第569条评论:   怀念以前放学坐单车听许嵩歌的日子 

第570条评论:   许夕颜

第571条评论:   这首歌的评论状态就像当年的

第572条评论:   朱密欧

第573条评论:   大概现在听嵩歌的人都上大学了吧

第574条评论:   错，都当家长了已经

第575条评论:   躺尸豆腐

第576条评论:   第一次看一首歌有

第577条评论:   的动态诶

第578条评论:   多多大笑

第579条评论:   “满纸荒唐中窥见满脸沧桑 / 触到神经就要懂得鼓掌

第580条评论:   我爱你祖国，我爱你许嵩

第581条评论:   喜欢喝天子饮

第582条评论:   菩萨：“我没有说他叫许仙啊，你是怎么知道的。”

第583条评论:   因为评论字数有上限

第584条评论:   她她她懂我

第585条评论:   我听歌一年多第一次看一百万以上的两百万

